	Feature ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc	Taxon
81	c47458a6dc729b3897ff33c0d9bc8a86	0.0	0.0	0.0	25.0	0.0	16.0	81.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597433; f__SG8-39; g__SCGC-AG-212-J23; s__SCGC-AG-212-J23 sp005881595
82	9e7c4cb763c43e91bcd54849f3031a7d	64.0	38.0	13.0	0.0	0.0	0.0	0.0	0.0	6.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae
83	b1bed50a045a72aa77f8aad0ae664272	49.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	64.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae
84	4c3db820bb39f4e9978f4f99626d2ecc	0.0	0.0	0.0	0.0	0.0	13.0	88.0	19.0	0.0	d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__CSP1-4; g__GWC2-73-18; s__
85	a045a35edbc85814dd7cf4fd347ce3b5	0.0	0.0	0.0	0.0	0.0	95.0	0.0	24.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__SYSU-D60009; s__SYSU-D60009 sp003574735
86	c37f6296fc3d73cbe8d3d11728b07d2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae
87	cc2692db4986358269269b37f7a643e3	0.0	0.0	0.0	0.0	0.0	15.0	44.0	55.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Ohtaekwangia; s__Ohtaekwangia flava
88	33a4aa5476927727eaca03bfe55aef8c	0.0	0.0	0.0	61.0	50.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Albibacterium
89	ddace2de973ff426029ce68eebdff587	39.0	41.0	15.0	0.0	0.0	0.0	0.0	0.0	14.0	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae_42771; g__Centipeda
90	516500a7a7f80c573b7e86a75f9102c0	0.0	0.0	0.0	0.0	0.0	48.0	61.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504721; f__Methyloligellaceae; g__Methyloceanibacter
